TITLE,LANGUAGE,VIDEO URL
Nausicaa of the Valley of the Wind,ENG,https://www.rapidvideo.com/e/G2JV3OE0WX/
Castle in the Sky,ENG,https://www.rapidvideo.com/e/G0GLQ3P5UX/
Grave of the Fireflies,JAP,https://www.rapidvideo.com/e/G0GM5IOYLP/
My Neighbor Totoro,ENG,https://www.rapidvideo.com/e/G0W8T33EXR/
Kiki's Delivery Service,ENG,https://www.rapidvideo.com/e/G0W8QX03YH/
Only Yesterday,JAP,https://www.rapidvideo.com/e/G2JVH5HRP9/
Porco Rosso,ENG,https://www.rapidvideo.com/e/G2JV87KQ5L/
Pom Poko,ENG,https://www.rapidvideo.com/e/G2KH4KECI9/
Whisper of the Heart,ENG,https://www.rapidvideo.com/e/G2JV17UWZO/
Princess Mononoke,ENG,https://www.rapidvideo.com/e/G0W8T1M6BY/
My Neighbors the Yamadas,JAP,https://www.rapidvideo.com/e/G2KH24P16V/
Spirited Away,ENG,https://www.rapidvideo.com/e/G0W8UJKRQH/
The Cat Returns,ENG,https://www.rapidvideo.com/e/G2KGZ6KG7E/
Howl's Moving Castle,ENG,https://www.rapidvideo.com/e/G0W8RLSKKG/
Tales from Earthsea,ENG,https://www.rapidvideo.com/e/G2KGDJYQTL/
Ponyo,ENG,https://www.rapidvideo.com/e/G2KGJ1BVL8/
The Secret World of Arrietty,ENG,https://www.rapidvideo.com/e/G2KGWADJXP/
From Up on Poppy Hill,JAP,https://www.rapidvideo.com/e/G0Z7OUD8LQ/
The Wind Rises,ENG,https://www.rapidvideo.com/e/G0W8U461FO/
The Tale of Princess Kaguya,ENG,https://www.rapidvideo.com/e/G2KGHDED2K/
When Marnie Was There,ENG,https://www.rapidvideo.com/e/G2JVKHGVD9/
